"Edit","Find Next","⌘K","Editing Text"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Edit","Find Previous","⇧⌘K","Editing Text"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"File","Properties","⌘I","In Windows"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Views","Show View (Declaration)","⌥⌘Q D","In Windows"
"Window","Next Perspective","⌘F8","In Windows"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Window","Quick Switch Editor","⌘E","In Windows"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Edit","Delete","⌦","In Windows"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⇧⌥↓","In Tasks View"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⇧⌥↑","In Tasks View"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Window","Quick Access","⌘3","In Windows"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Run/Debug","Debug on Server","⇧⌥D R","In Windows"
"Edit","Restore Last Selection","⇧⌃⇟","Editing Java Source"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"WindowBuilder Pro","Empty command","⌥⌘A","WindowBuilder Java scope"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Window","Close Dialog","⌘W","In Dialogs"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Text Editing","Text Start","⌘↖","Editing Text"
"WindowBuilder Pro","Empty command","⇧⌘A","WindowBuilder Java scope"
"Views","Show View","⌥⌘Q Q","In Windows"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Text Editing","Text End","↘","Editing Text"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"File","Refresh","F5","In Windows"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Window","Previous View","⇧⌘F7","In Windows"
"Run/Debug","EOF","⌃D","In I/O Console"
"Project","Build All","⌘B","In Windows"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Source","Quick Assist - Extract method","⌘2 M","Editing Java Source"
"Server","Stop","⌥⌘S","In Servers View"
"Navigate","Quick Outline","⌘O","WikiText Markup Source Context"
"Search","References in Workspace","⇧⌘G","In Windows"
"Text Editing","Delete Previous","⌃H","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"File","Close All","⇧⌘W","In Windows"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Task Repositories","New Subtask","⇧⌥N","In Tasks View"
"Edit","Incremental Find","⌘J","Editing Text"
"Run/Debug","Run on Server","⇧⌥X R","In Windows"
"Navigate","Next Page","⌥F7","In Windows"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Navigate","Next","⌘.","In Windows"
"File","New menu","⌥⌘N","In Windows"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Run/Debug","Step Into","F5","Debugging"
"Navigate","Open Maven POM","⇧⌥P","In Windows"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Navigate","Forward History","⌘]","In Windows"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks Editor"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"Navigate","Open Type","⇧⌘T","In Windows"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"File","Rename","F2","In Windows"
"Navigate","Activate Task","⌘F9","In Windows"
"Source","Organize Imports","⇧⌘O","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Text Editing","Line Start","⌘←","Editing Text"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"Window","Select Maven Profiles","⌃⌥P","In Windows"
"Text Editing","Text Start","↖","Editing Text"
"Run/Debug","Terminate","⌘F2","Debugging"
"Edit","Select Enclosing Element","⇧⌃⇞","Editing Java Source"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Navigate","Show In...","⌥⌘W","In Windows"
"Task Repositories","New Subtask","⇧Insert","In Tasks View"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Run/Debug","Execute","⌘U","In Windows"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Edit","Context Information","⇧⌃Space","In Dialogs and Windows"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Navigate","Previous Page","⇧⌥F7","In Windows"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks Editor"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Edit","Select Previous Element","⇧⌃←","Editing in Structured Text Editors"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Window","Show Contributing Plug-in","⇧⌥F3","In Dialogs and Windows"
"Window","Toggle Split Editor (Vertical)","⇧⌘[","In Windows"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks View"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Edit","Next Sibling","⇧⌃↓","Editing in Structured Text Editors"
"Focused UI","Make Landmark","⇧⌥⌘↑","In Windows"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"Server","Publish","⌥⌘P","In Servers View"
"Server","Run","⌥⌘R","In Servers View"
"Focused UI","Focus on Active Task","⇧⌥H","In Windows"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"File","Close","⌘W","In Windows"
"Run/Debug","Debug","⌘F11","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Navigate","Backward History","⌥⌘←","In Windows"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Edit","Content Assist","⌃Space","In Dialogs and Windows"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Edit","Select Next Element","⇧⌃→","Editing in Structured Text Editors"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Text Editing","Line End","⌘→","Editing Text"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks View"
"Navigate","Forward History","⌥⌘→","In Windows"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks Editor"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Navigate","Previous","⇧⌘.","In Windows"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Task Repositories","Quick Outline","⌘O","In Tasks Editor"
"Search","Declaration in Workspace","⌘G","In Windows"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Task Repositories","Open Selected Task","⌘↩","In Tasks View"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Window","Next View","⌘F7","In Windows"
"SpringSource Gradle Tools","Open Gradle Tasks Quick Launcher","⇧⌥⌘R","In Windows"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Edit","Word Completion","⌃.","Editing Text"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Edit","Add Maven Plugin","⇧⌃P","Editing XML Source"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Git","Commit...","⌥⌘3","In Windows"
"File","Save All","⇧⌘S","In Windows"
"Window","Next Editor","⌘F6","In Windows"
"File","New","⌘N","In Windows"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Window","Toggle Split Editor (Horizontal)","⇧⌘-","In Windows"
"View","Zoom In","⌘=","In Windows"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Edit","Find and Replace","⌘F","In Windows"
"Text Editing","Previous Word","⌥←","Editing Text"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Navigate","Backward History","⌘[","In Windows"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"File","Print","⌘P","In Windows"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Window","Toggle Full Screen","⌃⌘F","In Windows"
"Focused UI","Show Context Quick View","⇧⌥⌘→","In Windows"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"Edit","Restore Last Selection","⇧⌥↓","Editing in Structured Text Editors"
"Window","Activate Editor","⌘F12","In Windows"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Task Editor","Submit Task","⇧⌥S","In Tasks Editor"
"Navigate","Go to Line","⌘L","Editing Text"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Edit","Select Previous Element","⇧⌃↖","Editing Java Source"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Window","Previous Editor","⇧⌘F6","In Windows"
"File","Save","⌘S","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks Editor"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Text Editing","Delete Line","⌘D","Editing Text"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Text Editing","Scroll Line Down","⌃↓","Editing Text"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks View"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Text Editing","Next Word","⌥→","Editing Text"
"Window","Update Project","⌥F5","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Source","Format","⇧⌘F","Editing Java Source"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Edit","Select Enclosing Element","⇧⌥↑","Editing in Structured Text Editors"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Text Editing","Text End","⌘↘","Editing Text"
"File","Properties","⌥↩","In Windows"
"Edit","Add Maven Dependency","⇧⌃D","Editing XML Source"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Run/Debug","Run to Line","⌘R","Debugging"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Search","Open Search Dialog","⌃G","In Windows"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"View","Zoom Out","⌘-","In Windows"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Uncategorized","Copy SHA-1","⌘C","In Git Reflog View"
"Edit","Select Next Element","⇧⌃↘","Editing Java Source"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Text Editing","Scroll Line Up","⌃↑","Editing Text"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Run/Debug","Run Maven Build","⇧⌥X M","In Windows"
"Server","Debug","⌥⌘D","In Servers View"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"WindowBuilder Pro","Switch Source/Design Views","F12","Editing Text"
"Navigate","Open Remote Task","⇧⌥⌘F12","In Windows"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Edit","Previous Sibling","⇧⌃↑","Editing in Structured Text Editors"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks View"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Focused UI","Make Less Interesting","⇧⌥⌘↓","In Windows"
